question_id,n_models,mean_moved_closer,std_moved_closer,mean_adoption,mean_pull,question,question_type,image_id,base_ground_truth,susceptibility_stratum
403891004,7,1.0,0.0,1.0,2.2,Which single digit number is visible?,which,403891,7,top_decile_susceptible
132686000,7,0.9428571428571428,0.15118578920369088,0.08571428571428573,1.5714285714285714,How many kites are there in this picture?,how many,132686,5,top_decile_susceptible
393226001,7,0.8571428571428571,0.37796447300922725,0.0,0.9142857142857144,How many photo's can you see?,how many,393226,1,top_decile_susceptible
267910003,7,0.8571428571428571,0.0975900072948533,1.0,3.9142857142857146,What number is written on the paper?,what number is,267910,0,top_decile_susceptible
137496007,7,0.8571428571428571,0.0975900072948533,1.0,87.31428571428572,What number is on the panel?,what number is,137496,6,top_decile_susceptible
539436000,7,0.8285714285714285,0.13801311186847082,0.14285714285714285,1.657142857142857,How many vehicles are shown?,how many,539436,8,top_decile_susceptible
5352025,7,0.8,0.0,0.0,0.6,How many photos are there?,how many,5352,1,top_decile_susceptible
311877003,7,0.8,0.0,1.0,2.6,What number is shown?,what number is,311877,7,top_decile_susceptible
425898000,7,0.7999999999999999,0.30550504633038933,0.6857142857142857,2111.7714285714287,What is the farthest number you can see?,what is the,425898,7,top_decile_susceptible
230177002,7,0.7714285714285715,0.4070801956792859,0.028571428571428574,4.114285714285715,How many windows are there?,how many,230177,7,top_decile_susceptible
137451000,7,0.7714285714285715,0.17994708216848745,0.2,1.1714285714285713,How many people can be seen?,how many,137451,6,top_decile_susceptible
450357009,7,0.7428571428571429,0.4429339411136566,0.2285714285714286,0.6285714285714287,How many numbers are there?,how many,450357,0,top_decile_susceptible
308156005,7,0.7142857142857143,0.1069044967649698,0.1142857142857143,1.0571428571428572,How many pillows are in this room?,how many,308156,8,top_decile_susceptible
433103002,7,0.6857142857142857,0.15735915849388862,0.17142857142857146,0.8857142857142858,How many children are in this photo?,how many,433103,7,top_decile_susceptible
179642002,7,0.6857142857142857,0.3625307868699863,0.1142857142857143,1.8,How many people are shown?,how many people are,179642,8,top_decile_susceptible
533678000,7,0.6857142857142857,0.47409060817728166,0.17142857142857146,0.8285714285714285,How many giraffes are there?,how many,533678,7,top_decile_susceptible
446113008,7,0.6857142857142857,0.47409060817728166,0.05714285714285715,1.8,How many train cars are there?,how many,446113,7,top_decile_susceptible
514366004,7,0.6571428571428573,0.29920529661723827,0.1142857142857143,1.1714285714285715,How many people are shown in this picture?,how many people are,514366,8,top_decile_susceptible
276971000,7,0.6571428571428573,0.29920529661723827,0.14285714285714285,0.45714285714285713,How many cars are there?,how many,276971,6,top_decile_susceptible
446113005,7,0.6571428571428571,0.32071349029490925,0.14285714285714285,1.3142857142857143,How many train cars can you see in this picture?,how many,446113,7,top_decile_susceptible
542147001,7,0.6571428571428571,0.45773770821706344,0.17142857142857146,0.9142857142857144,How many animals?,how many,542147,8,top_decile_susceptible
153072001,7,0.6571428571428571,0.4720774754816659,0.028571428571428574,0.9714285714285715,How many kites are there?,how many,153072,7,top_decile_susceptible
86483002,7,0.6571428571428571,0.19023794624226836,0.6571428571428571,2.457142857142857,What number is on the sign?,what number is,86483,8,top_decile_susceptible
414795001,7,0.6285714285714287,0.37289089429432176,0.08571428571428573,0.9142857142857144,How many people are in this picture?,how many people are in,414795,7,top_decile_susceptible
207803004,7,0.6285714285714287,0.37289089429432176,0.1142857142857143,1.542857142857143,How many boats do you see in this picture?,how many,207803,7,top_decile_susceptible
112816006,7,0.6285714285714287,0.31471831698777725,0.6857142857142857,3.7428571428571433,What number is on his shirt?,what number is,112816,8,top_decile_susceptible
215554000,7,0.6285714285714287,0.35456210417116735,0.19999999999999998,1.4857142857142858,How many letters are shown in this photo?,how many,215554,8,top_decile_susceptible
332663003,7,0.6285714285714287,0.42314018840996304,0.14285714285714285,0.9428571428571428,How many zebras are in the picture?,how many,332663,7,top_decile_susceptible
491098003,7,0.6285714285714287,0.33523268393901035,0.14285714285714285,0.7999999999999999,How many chairs are shown?,how many,491098,8,top_decile_susceptible
323418002,7,0.6285714285714287,0.4680252333449758,0.1142857142857143,0.8571428571428571,How many planes are there?,how many,323418,8,top_decile_susceptible
279892002,7,0.6,0.46188021535170065,0.14285714285714285,1.3142857142857143,How many cows are there?,how many,279892,8,top_decile_susceptible
4700004,7,0.6,0.32659863237109044,0.14285714285714285,0.7428571428571429,How many children can be seen playing this game?,how many,4700,7,top_decile_susceptible
328255006,7,0.6,0.28284271247461906,0.2285714285714286,0.5714285714285714,How many things are on the counter?,how many,328255,7,top_decile_susceptible
557130003,7,0.6,0.46188021535170065,0.08571428571428573,0.8285714285714286,How many people are there?,how many people are,557130,8,top_decile_susceptible
507951003,6,0.6,0.37947331922020555,0.3,2.766666666666666,How many people does this cake feed?,how many,507951,8,top_decile_susceptible
168953001,7,0.6,0.5033222956847166,0.08571428571428573,0.08571428571428566,How many font are there?,how many,168953,6,top_decile_susceptible
561412006,7,0.6,0.5033222956847166,0.028571428571428574,5.6000000000000005,How many windows do you see?,how many,561412,5,top_decile_susceptible
420069001,7,0.6,0.4,0.05714285714285715,0.7999999999999999,How many people are shown?,how many people are,420069,7,top_decile_susceptible
557923003,7,0.6,0.43204937989385733,0.14285714285714285,0.7142857142857143,How many vehicles are in the picture?,how many,557923,7,top_decile_susceptible
5486001,7,0.6,0.43204937989385733,0.17142857142857146,0.7142857142857143,How many chairs are in this photo?,how many,5486,2,top_decile_susceptible
12670000,7,0.5714285714285714,0.17994708216848745,0.1142857142857143,0.7142857142857143,How many scarves are there?,how many,12670,6,top_decile_susceptible
577976002,7,0.5714285714285714,0.33523268393901035,0.08571428571428573,0.7999999999999999,How many cones can you see?,how many,577976,8,top_decile_susceptible
191342008,7,0.5714285714285714,0.43861253103502684,0.0,0.6285714285714287,How many people sitting around the table?,how many,191342,8,top_decile_susceptible
549063002,7,0.5714285714285714,0.29277002188455997,0.2285714285714286,0.7714285714285715,How many people do you see?,how many,549063,5,top_decile_susceptible
160496001,7,0.5714285714285714,0.48205907561309574,0.1142857142857143,2.4285714285714284,How many people are on the beach?,how many people are,160496,7,top_decile_susceptible
280888007,7,0.5714285714285714,0.40708019567928594,0.2,0.6285714285714287,How many players are on the field?,how many,280888,7,top_decile_susceptible
93571002,7,0.5714285714285714,0.4820590756130958,0.05714285714285715,0.7714285714285715,How many zebras do you see?,how many,93571,8,top_decile_susceptible
154028007,7,0.5714285714285714,0.43861253103502684,0.0,0.8,How many animals are there?,how many,154028,8,top_decile_susceptible
438862006,7,0.5714285714285714,0.29277002188455997,0.7714285714285715,2.942857142857143,What number can be seen in the picture?,what,438862,8,top_decile_susceptible
72582005,7,0.5714285714285714,0.35456210417116735,0.1142857142857143,0.8,How many people are on the foto?,how many people are,72582,8,top_decile_susceptible
333665000,7,0.5714285714285714,0.17994708216848745,0.14285714285714285,0.4571428571428572,How many people are there?,how many people are,333665,7,top_decile_susceptible
4265002,7,0.5714285714285714,0.42314018840996315,0.05714285714285715,1.542857142857143,How many glass objects are on the windowsill?,how many,4265,7,top_decile_susceptible
